2026-06-27 09:18:24,967 | DEBUG    | src.parser | Removed 24 noise tag(s)
2026-06-27 09:18:24,968 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:24,971 | INFO     | src.parser | Parsed content: 10789 characters
2026-06-27 09:18:24,977 | DEBUG    | src.parser | Found 78 same-domain link(s)
2026-06-27 09:18:25,483 | INFO     | src.crawler | [11/60] depth 1: https://rumbomundo.com/laugavegur-icelands-most-beautiful-trail
2026-06-27 09:18:25,483 | INFO     | src.fetcher | Requesting https://rumbomundo.com/laugavegur-icelands-most-beautiful-trail
2026-06-27 09:18:25,966 | DEBUG    | src.fetcher | Response 200 in 0.48s (154159 bytes, final URL: https://rumbomundo.com/laugavegur-icelands-most-beautiful-trail/)
2026-06-27 09:18:25,978 | DEBUG    | src.parser | Removed 25 noise tag(s)
2026-06-27 09:18:25,978 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:25,990 | INFO     | src.parser | Parsed content: 46919 characters
2026-06-27 09:18:25,998 | DEBUG    | src.parser | Found 108 same-domain link(s)
2026-06-27 09:18:26,503 | INFO     | src.crawler | [12/60] depth 1: https://rumbomundo.com/fimmvorduhals-a-trail-of-20-waterfalls-and-more
2026-06-27 09:18:26,503 | INFO     | src.fetcher | Requesting https://rumbomundo.com/fimmvorduhals-a-trail-of-20-waterfalls-and-more
2026-06-27 09:18:27,029 | DEBUG    | src.fetcher | Response 200 in 0.53s (123189 bytes, final URL: https://rumbomundo.com/fimmvorduhals-a-trail-of-20-waterfalls-and-more/)
2026-06-27 09:18:27,047 | DEBUG    | src.parser | Removed 24 noise tag(s)
2026-06-27 09:18:27,047 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:27,055 | INFO     | src.parser | Parsed content: 24583 characters
2026-06-27 09:18:27,061 | DEBUG    | src.parser | Found 99 same-domain link(s)
2026-06-27 09:18:27,565 | INFO     | src.crawler | [13/60] depth 1: https://rumbomundo.com/hellismannaleid-a-trail-through-truly-wild-iceland
2026-06-27 09:18:27,565 | INFO     | src.fetcher | Requesting https://rumbomundo.com/hellismannaleid-a-trail-through-truly-wild-iceland
2026-06-27 09:18:28,037 | DEBUG    | src.fetcher | Response 200 in 0.47s (121474 bytes, final URL: https://rumbomundo.com/hellismannaleid-a-trail-through-truly-wild-iceland/)
2026-06-27 09:18:28,049 | DEBUG    | src.parser | Removed 24 noise tag(s)
2026-06-27 09:18:28,049 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:28,055 | INFO     | src.parser | Parsed content: 24590 characters
2026-06-27 09:18:28,063 | DEBUG    | src.parser | Found 92 same-domain link(s)
2026-06-27 09:18:28,564 | INFO     | src.crawler | [14/60] depth 1: https://rumbomundo.com/how-to-prepare-for-a-hiking-trip-in-iceland
